www.test1.com,12
www.test2.com,5
www.test3.com,17
www.test4.com,3
www.test5.com,17
www.test6.com,8
www.test7.com,7
www.test8.com,17
www.test9.com,20
www.test10.com,20
www.test11.com,8
www.test12.com,13
www.test13.com,10
www.test14.com,14
www.test15.com,20
www.test16.com,10
www.test17.com,17
www.test18.com,11
www.test19.com,3
www.test20.com,8
www.test21.com,7
www.test22.com,2
www.test23.com,14
www.test24.com,13
www.test25.com,2
www.test26.com,16
www.test27.com,21
www.test28.com,20
www.test29.com,2
www.test30.com,5
